machine_id,internal_temperature_c,probe_health_score_percent,error_count_30d,cooling_fan_rpm,power_consumption_w,voltage_fluctuation_v,daily_usage_hours,image_artifact_score_0_10,last_service_days_ago,target_days_to_failure
USM_002,44.5,100.0,5,2703,274.68,216.46,8.11,3.24,4,106
USM_006,41.9,100.0,5,2546,289.06,229.89,6.45,4.41,143,114
USM_010,30.0,96.6,6,2271,349.27,236.51,5.89,3.78,237,104
USM_004,43.3,93.7,5,2218,361.73,228.51,6.57,3.74,89,106
USM_018,40.2,98.4,6,3090,369.39,229.54,7.04,3.68,26,115
USM_012,40.8,97.5,3,2448,337.93,227.85,7.29,2.37,31,120
USM_002,34.2,100.0,2,2314,450.0,227.75,7.11,2.19,122,109
USM_010,43.5,96.4,5,2559,340.88,231.27,6.18,1.98,19,110
USM_004,35.6,93.2,7,2522,340.77,226.01,5.61,3.99,9,95
USM_014,41.9,97.9,7,3160,318.12,235.13,5.7,4.39,103,103
USM_016,45.0,100.0,7,2601,354.96,236.84,5.61,4.1,12,111
USM_015,40.2,91.8,6,3441,374.6,227.66,8.27,5.03,142,105
USM_008,46.7,100.0,6,2735,398.14,225.42,7.19,4.79,54,104
USM_014,37.3,98.0,4,3239,290.43,225.34,1.0,3.61,48,115
USM_008,44.2,95.2,6,2960,340.16,229.72,7.31,3.59,89,101
USM_016,36.4,94.5,6,2722,367.87,233.35,6.39,5.17,1,104
USM_013,45.6,100.0,6,3179,373.48,223.06,5.96,2.63,75,110
USM_018,44.8,99.3,4,3034,350.26,226.3,5.22,2.2,54,115
USM_015,43.9,99.7,6,2879,371.7,230.73,8.25,3.02,44,99
USM_013,40.4,92.7,5,3349,317.64,237.48,7.9,3.36,14,100
USM_009,35.5,97.6,4,2455,412.32,224.61,4.45,3.54,106,106
USM_015,40.1,92.7,4,2352,389.71,222.03,6.81,2.97,17,105
USM_013,45.5,97.2,6,2501,296.2,243.97,4.06,3.89,40,107
USM_001,41.3,100.0,5,3188,307.0,231.2,3.24,2.76,10,111
USM_007,35.0,98.9,5,3034,308.12,231.85,4.75,4.63,218,113
USM_009,37.4,92.3,5,2466,377.12,235.43,7.72,2.65,12,112
USM_001,47.0,100.0,5,2013,298.61,229.66,7.91,3.19,97,107
USM_012,43.7,95.4,6,2625,336.76,233.02,7.03,3.31,18,105
USM_008,36.9,100.0,5,2315,368.19,232.61,7.45,3.56,17,113
USM_011,34.7,100.0,5,2448,347.35,228.81,7.03,4.26,32,105
USM_019,38.7,94.8,5,2320,360.36,231.02,4.72,3.95,112,108
USM_017,34.3,100.0,3,2110,307.37,221.02,6.86,3.2,69,114
USM_008,41.3,98.0,4,3227,373.79,238.4,7.6,4.16,123,103
USM_003,51.7,100.0,7,2561,325.47,226.81,7.51,4.18,2,100
USM_003,35.7,100.0,3,3030,337.02,224.93,8.38,3.6,186,118
USM_001,41.1,97.5,4,2594,359.51,230.13,7.42,3.89,4,114
USM_005,46.9,99.3,5,2379,354.12,223.09,6.7,4.03,76,102
USM_010,45.0,100.0,4,2853,350.96,228.85,8.14,1.69,13,122
USM_007,40.9,100.0,4,2541,319.97,233.75,5.95,2.98,110,114
USM_009,40.5,100.0,5,2592,338.02,233.28,4.24,3.71,118,113
USM_007,36.8,96.2,7,2661,350.09,236.82,5.67,3.29,48,107
USM_009,40.1,93.0,4,2406,295.0,223.67,4.51,3.51,30,107
USM_008,42.1,95.7,4,2185,331.5,228.69,4.65,4.0,94,107
USM_012,45.8,95.0,7,2693,365.51,231.02,5.71,4.07,124,103
USM_002,38.6,100.0,6,2925,298.9,215.52,4.42,3.8,80,111
USM_001,40.6,97.2,3,2385,396.26,230.06,5.38,2.73,142,112
USM_016,36.8,99.9,3,2663,400.78,223.96,2.21,1.92,59,110
USM_005,42.5,99.0,8,3126,300.19,240.26,6.43,4.21,66,104
USM_003,44.6,95.1,4,2669,404.3,231.12,6.0,2.92,50,112
USM_012,43.6,94.0,6,2711,344.26,232.17,4.37,2.92,40,103
USM_008,37.1,100.0,4,2638,366.74,227.02,7.32,2.43,63,117
USM_003,42.6,100.0,7,2470,330.13,227.48,7.88,4.48,49,104
USM_001,38.0,100.0,4,2331,386.92,241.5,2.78,3.55,78,111
USM_003,45.2,100.0,5,2404,366.24,229.39,4.47,3.68,163,99
USM_005,40.5,98.5,5,2765,317.43,219.46,4.46,4.13,28,110
USM_015,35.0,95.7,3,2826,303.39,237.72,4.12,3.58,31,98
USM_014,41.0,100.0,5,2901,291.59,237.2,7.66,4.35,1,110
USM_003,43.2,100.0,5,2568,357.52,229.17,5.61,2.14,44,111
USM_001,42.3,100.0,5,3001,372.9,229.75,5.47,2.25,8,110
USM_005,38.5,93.6,4,2726,376.04,231.8,1.99,2.62,75,100
USM_014,39.5,100.0,5,2665,345.28,242.83,7.27,3.76,90,114
USM_007,36.9,100.0,7,1617,303.72,227.89,3.52,3.84,76,113
USM_009,40.0,97.2,5,2404,322.72,232.71,6.12,3.05,47,117
USM_015,38.2,100.0,5,2175,396.09,226.74,6.55,3.1,45,110
USM_015,46.1,100.0,6,2898,330.61,224.99,8.72,4.6,62,105
USM_010,37.2,90.8,4,2650,355.74,241.25,3.38,3.25,48,98
USM_013,40.7,90.9,4,2335,306.97,225.12,1.0,4.23,83,107
USM_019,41.8,100.0,3,2759,363.46,231.83,6.37,2.65,134,121
USM_007,46.2,100.0,6,2284,331.69,221.05,9.6,4.43,46,104
USM_017,46.5,100.0,5,2401,391.87,226.28,8.48,3.96,7,112
USM_020,44.4,100.0,3,2480,380.94,231.95,6.42,1.93,8,100
USM_004,42.7,94.7,7,2838,330.17,227.85,5.02,3.43,28,96
USM_005,37.7,87.8,3,3046,344.93,232.05,7.61,2.07,41,107
USM_007,36.7,100.0,6,2441,327.96,230.44,4.05,4.23,15,100
USM_013,38.4,100.0,5,3030,293.22,237.27,6.95,5.38,36,106
USM_015,44.8,100.0,3,2711,315.7,236.21,7.01,1.15,8,110
USM_011,42.3,99.4,3,2744,357.93,229.84,8.12,1.94,16,115
USM_004,46.4,100.0,5,2694,363.01,229.67,11.52,3.5,79,108
USM_013,45.7,100.0,6,2647,355.94,233.94,6.78,3.31,254,104
USM_007,38.3,94.8,3,2765,337.93,233.97,4.98,3.27,12,107
USM_019,41.6,99.2,3,2888,387.32,230.04,5.95,1.65,24,108
USM_002,40.6,93.5,4,2390,352.54,229.18,2.46,4.09,25,107
USM_010,39.8,98.0,5,2591,378.13,228.61,4.61,4.35,15,110
USM_013,39.2,100.0,6,3142,279.05,230.17,5.18,6.18,13,112
USM_006,46.0,100.0,5,2762,250.0,233.97,4.95,4.64,8,117
USM_012,41.8,98.6,6,2753,361.35,232.8,6.3,2.13,142,109
USM_012,41.1,100.0,4,3011,293.01,231.9,4.36,3.32,62,106
USM_020,38.8,100.0,6,2488,341.5,234.79,8.24,3.93,20,110
USM_011,44.2,100.0,8,2681,337.92,231.84,6.0,2.65,17,96
USM_007,37.5,97.3,5,2869,413.5,229.14,5.98,4.3,53,107
USM_001,43.2,100.0,7,3053,366.0,228.0,5.34,4.04,71,106
USM_001,43.5,93.9,6,1975,356.63,236.09,6.31,4.97,17,107
USM_020,40.3,100.0,5,2431,383.48,214.14,7.65,4.14,25,113
USM_013,42.3,100.0,4,2373,364.74,231.08,4.27,3.62,20,109
USM_009,41.9,100.0,4,2631,331.69,234.81,4.68,2.7,5,112
USM_003,41.2,91.6,3,2385,392.86,223.02,5.39,2.6,29,111
USM_007,40.9,99.7,5,2858,305.61,231.19,3.31,3.57,45,104
USM_006,41.3,100.0,4,2715,362.93,224.96,4.36,2.93,63,117
USM_008,41.8,100.0,6,2934,288.1,229.6,5.05,3.03,32,110
USM_009,42.2,93.9,9,2957,358.16,234.16,7.75,4.86,245,87
USM_005,37.2,100.0,4,2825,357.72,228.12,6.53,4.7,58,113
USM_001,41.0,92.1,3,2559,417.06,220.93,6.39,2.62,130,112
USM_019,43.0,96.6,5,2711,287.4,222.71,7.7,3.35,148,117
USM_010,41.8,100.0,4,2529,325.96,232.57,5.73,2.9,103,109
USM_012,45.5,94.0,7,2295,382.91,234.63,6.78,4.05,18,103
USM_015,43.9,100.0,4,2975,363.41,236.35,5.79,1.07,33,114
USM_009,38.2,100.0,2,2606,357.21,233.78,6.53,1.87,1,118
USM_020,40.5,100.0,6,2204,311.75,229.53,4.83,3.22,36,107
USM_017,39.0,96.0,4,2801,326.37,241.91,1.12,4.39,20,108
USM_017,41.4,94.1,6,2596,399.8,229.69,5.73,3.8,7,101
USM_020,42.2,100.0,5,2054,347.94,224.56,8.85,4.0,109,111
USM_012,44.4,100.0,4,2281,365.01,227.3,7.85,3.53,67,114
USM_007,42.7,100.0,7,2466,345.39,217.21,7.93,4.61,365,100
USM_002,47.0,100.0,6,2783,302.68,240.99,8.47,4.82,41,107
USM_003,42.5,100.0,3,2911,387.35,235.02,6.18,2.57,24,115
USM_017,38.3,98.5,4,2858,370.13,225.81,6.39,4.32,18,110
USM_005,39.3,90.1,5,2824,442.23,230.14,4.76,4.5,34,98
USM_017,43.8,95.8,10,2677,309.38,228.96,5.37,6.11,22,91
USM_017,35.4,100.0,5,3120,382.9,223.15,7.23,2.54,281,102
USM_017,36.7,100.0,3,2827,297.54,223.26,8.41,3.22,12,107
USM_002,41.5,100.0,4,2731,356.29,226.97,5.72,2.3,1,105
USM_002,45.1,97.9,4,2870,389.06,227.18,5.1,2.5,8,113
USM_005,46.7,92.0,5,2597,267.11,229.83,6.0,4.25,133,88
USM_001,40.9,100.0,4,2642,341.8,231.18,7.2,3.54,71,112
USM_001,45.0,92.1,7,2075,327.47,233.55,3.11,4.4,91,93
USM_019,40.6,89.3,5,2540,321.92,231.98,1.41,4.57,23,104
USM_002,35.1,100.0,4,3128,365.41,229.79,4.9,3.1,58,120
USM_012,40.9,100.0,6,2703,394.83,232.83,3.56,3.09,73,109
USM_006,38.8,100.0,3,2669,344.67,233.28,4.98,2.36,23,118
USM_004,45.1,99.5,5,3000,358.22,228.18,5.7,2.67,77,111
USM_011,41.2,100.0,4,2769,354.57,234.4,5.09,3.28,59,105
USM_017,37.1,95.4,4,2385,350.07,229.42,8.9,3.84,21,111
USM_006,35.7,100.0,4,2613,306.43,226.01,6.65,4.04,3,113
USM_005,41.6,100.0,8,2325,394.34,237.8,6.6,3.94,16,106
USM_020,32.1,98.2,4,2626,361.81,236.88,7.24,5.01,57,111
USM_002,38.9,95.5,3,2387,365.8,227.96,3.72,2.66,54,107
USM_006,42.9,88.8,6,2957,317.74,232.84,8.08,3.85,42,100
USM_011,37.2,100.0,3,2469,331.63,230.45,5.85,2.45,17,119
USM_016,45.8,100.0,6,2460,342.95,230.77,7.34,4.61,35,102
USM_016,45.7,100.0,6,2673,288.64,229.29,3.86,2.83,9,106
USM_001,36.7,100.0,5,2726,282.48,228.55,2.89,4.49,65,107
USM_009,40.7,100.0,5,2294,325.97,222.14,7.64,4.79,122,110
USM_006,45.7,100.0,6,2550,370.9,236.15,6.75,3.75,37,110
USM_016,41.0,100.0,5,2691,323.87,223.88,4.2,3.63,14,110
USM_003,35.5,97.5,3,3006,309.25,234.63,4.26,3.54,105,119
USM_020,41.5,100.0,4,1906,317.41,229.51,8.25,3.02,22,109
USM_004,37.5,97.4,3,2809,331.79,228.59,3.62,3.07,54,115
USM_019,46.8,99.2,5,2602,335.85,234.5,9.29,3.24,4,104
USM_003,43.5,100.0,6,2536,436.62,231.65,4.2,5.16,75,102
USM_019,40.6,100.0,4,2451,392.18,227.34,7.28,2.29,37,119
USM_020,41.9,96.9,4,2559,390.99,225.07,5.34,3.75,33,108
USM_007,36.6,91.6,4,2801,396.74,230.86,7.21,4.61,163,101
USM_020,38.2,87.1,5,2471,310.05,233.45,4.91,3.91,40,97
USM_009,47.6,95.1,5,3223,301.11,230.5,5.67,4.08,1,105
USM_001,41.7,92.5,3,2854,305.73,225.89,6.08,2.33,192,114
USM_008,44.7,97.5,7,2756,403.38,222.46,4.0,4.83,1,111
USM_007,42.8,98.3,6,2628,328.11,230.07,7.48,4.58,46,104
USM_018,46.5,99.2,6,3071,299.95,238.05,4.97,3.29,60,104
USM_008,33.4,100.0,2,2984,332.76,242.82,5.54,2.45,134,117
USM_001,40.2,96.8,5,2304,340.46,231.91,4.01,4.34,68,100
USM_011,46.8,100.0,3,2507,360.74,237.82,1.0,2.19,100,112
USM_018,45.2,100.0,5,2892,360.04,227.29,5.62,2.33,88,108
USM_010,48.0,100.0,6,3011,316.87,224.33,10.83,3.28,14,111
USM_003,41.9,97.4,6,2578,377.43,228.16,7.57,5.02,72,103
USM_007,39.3,100.0,4,2420,324.43,239.61,5.96,3.97,60,111
USM_016,37.3,99.6,6,2646,343.75,235.82,5.47,2.71,16,116
USM_016,37.1,97.3,2,3064,377.47,223.87,6.04,1.83,8,110
USM_020,45.0,96.8,5,2712,324.33,225.69,7.09,3.59,83,108
USM_017,43.0,95.9,5,2300,327.23,222.27,3.64,3.86,212,110
USM_002,41.8,100.0,5,2700,373.67,221.59,8.23,3.26,80,107
USM_001,43.9,97.3,8,2923,315.69,232.46,7.43,5.32,83,106
USM_016,42.4,100.0,5,2643,334.61,235.26,7.44,3.2,10,108
USM_012,45.6,100.0,3,3083,372.23,233.86,6.88,1.05,17,112
USM_005,45.3,97.1,6,2962,432.16,222.99,6.04,3.12,52,96
USM_005,37.6,98.3,5,2607,374.22,242.11,7.35,3.9,1,109
USM_009,42.9,94.7,6,2691,368.91,230.46,7.18,4.07,66,99
USM_009,34.6,99.9,4,2043,371.23,231.77,5.29,3.16,9,107
USM_003,41.7,100.0,5,3030,307.07,218.71,4.85,2.99,32,113
USM_019,44.0,100.0,4,2590,354.62,228.61,6.2,1.33,23,114
USM_016,37.0,95.3,5,2500,348.81,230.17,9.1,3.73,6,100
USM_016,39.2,97.4,3,2477,362.86,232.05,3.52,3.17,51,105
USM_003,40.8,100.0,4,2795,354.66,230.95,3.06,3.58,26,102
USM_020,42.5,100.0,7,2336,365.19,232.6,6.33,3.82,2,112
USM_001,40.4,100.0,6,2358,337.54,225.39,6.1,4.57,35,92
USM_020,36.9,97.4,4,2603,352.34,228.56,6.35,2.55,53,111
USM_011,41.4,100.0,3,2476,300.89,231.39,6.49,2.04,8,107
USM_017,34.8,100.0,5,2698,337.2,230.28,5.55,2.76,52,115
USM_008,41.3,99.6,3,2486,405.63,230.76,8.98,2.63,21,116
USM_004,38.9,94.0,4,3117,362.75,225.55,2.8,2.91,18,103
USM_006,40.5,96.7,5,2863,349.16,220.96,4.34,5.0,95,104
USM_008,39.2,94.9,4,2846,425.84,218.37,5.79,3.82,37,107
USM_020,34.6,98.2,9,2414,295.57,233.85,2.71,5.42,28,97
USM_003,39.9,100.0,6,3371,305.62,233.11,5.65,3.33,100,112
USM_016,46.1,100.0,5,2578,418.51,236.02,9.32,2.16,144,108
USM_003,46.6,100.0,8,2501,351.84,230.09,6.04,2.53,22,106
USM_018,51.4,96.8,8,2975,340.3,218.22,6.46,4.57,3,90
USM_014,47.6,100.0,4,2784,302.03,223.45,3.48,2.2,46,115
USM_018,36.4,100.0,7,2368,367.91,233.04,4.77,3.89,75,98
USM_002,39.7,99.6,3,3305,371.78,229.69,5.25,3.0,53,111
USM_003,41.2,91.5,6,2955,306.22,229.81,5.36,2.97,69,104
USM_016,41.8,96.5,6,2669,344.39,235.8,8.56,4.96,62,99
USM_009,42.1,100.0,4,3390,336.58,229.91,7.12,2.74,187,106
USM_004,50.6,99.0,4,2998,360.24,232.83,3.78,2.57,120,94
USM_001,37.3,91.5,5,2619,305.23,230.15,6.49,3.82,8,104
USM_004,38.9,96.7,3,3323,400.08,236.96,7.0,3.05,36,115
USM_001,48.6,100.0,7,2934,386.63,227.81,8.28,5.55,36,98
USM_014,39.8,100.0,4,2832,335.47,224.63,9.16,4.39,36,114
USM_016,42.6,100.0,3,2559,341.34,223.57,3.97,2.74,160,123
USM_020,45.2,92.5,4,2717,344.54,226.7,4.38,3.36,23,110
USM_008,42.8,93.5,3,2554,318.87,233.76,3.48,1.75,57,112
USM_007,42.2,100.0,5,3103,332.26,234.27,5.53,3.47,135,107
USM_003,45.5,100.0,5,2222,339.19,227.44,6.93,2.59,3,107
USM_017,38.4,99.5,7,3043,414.51,222.1,7.97,3.45,126,107
USM_001,39.5,99.4,2,2381,387.86,231.84,5.85,1.41,86,115
USM_016,43.5,100.0,5,2667,387.39,227.86,5.36,3.31,13,112
USM_012,33.3,100.0,5,2494,364.8,229.79,6.3,5.03,23,96
USM_019,46.7,100.0,8,2561,305.31,239.57,4.33,3.39,22,98
USM_014,43.8,93.4,7,2894,348.34,233.89,10.18,3.0,15,106
USM_006,41.3,100.0,5,2661,388.82,219.1,2.78,3.31,61,100
USM_006,35.1,100.0,3,2400,299.67,219.54,6.37,3.27,243,110
USM_013,37.4,97.6,5,2669,375.46,232.41,10.05,5.69,10,106
USM_019,39.9,100.0,4,2440,442.9,223.53,6.01,3.0,15,102
USM_008,44.6,100.0,3,2535,392.47,235.62,5.62,2.13,20,116
USM_002,33.0,99.4,4,2130,406.56,229.91,5.29,3.39,166,113
USM_001,44.6,96.3,5,2560,358.73,228.89,5.64,3.77,58,97
USM_015,40.7,100.0,5,2805,388.72,225.86,8.75,3.9,14,108
USM_001,39.5,90.8,6,2656,321.29,236.77,1.58,4.7,97,99
USM_005,43.3,99.7,6,3227,381.83,243.08,9.07,5.31,153,111
USM_016,41.9,93.8,4,3452,376.18,229.01,3.15,3.15,30,110
USM_019,38.5,98.3,4,2495,361.6,232.79,5.47,2.76,11,114
USM_004,43.8,89.1,4,2437,402.64,227.31,5.14,2.21,22,108
USM_003,32.5,94.4,6,2914,328.45,228.67,7.18,4.37,14,104
USM_017,38.9,99.5,6,2739,342.52,224.67,2.8,2.48,13,114
USM_017,42.3,96.6,6,3014,353.82,223.28,6.92,4.45,11,108
USM_012,41.1,100.0,4,2780,308.82,224.59,10.05,2.84,125,111
USM_014,33.5,100.0,4,2526,359.08,230.93,3.27,5.06,5,120
USM_006,44.6,100.0,4,2639,281.24,230.17,6.38,1.9,31,108
USM_003,36.2,100.0,4,2741,391.88,219.48,4.68,4.36,1,112
USM_009,41.4,89.4,5,2601,351.87,234.59,6.85,4.94,20,102
USM_005,42.1,100.0,7,3037,329.16,228.82,6.04,3.86,73,108
USM_017,41.3,100.0,4,2271,316.63,234.81,4.72,2.22,13,109
USM_014,46.4,100.0,5,3078,340.62,232.03,6.98,3.86,365,104
USM_003,42.2,100.0,7,2109,377.53,222.31,9.61,3.46,2,111
USM_001,43.1,97.8,4,2724,371.91,217.63,5.62,1.65,8,104
USM_020,41.6,100.0,5,2567,321.78,224.05,7.44,4.89,92,114
USM_001,43.3,97.5,6,2228,316.16,226.79,3.41,3.16,223,105
USM_003,46.6,94.0,6,2097,376.28,233.91,4.09,5.22,184,102
USM_018,42.3,93.4,5,2343,321.11,231.33,6.94,3.71,96,102
USM_010,45.4,100.0,8,2717,352.4,237.0,8.97,4.32,216,102
USM_003,47.5,96.6,4,2544,354.95,225.58,6.71,2.7,110,110
USM_008,46.8,100.0,6,2405,362.48,232.31,5.37,3.55,3,103
USM_014,40.0,100.0,6,3055,384.33,234.41,6.0,3.48,112,99
USM_018,45.0,100.0,6,2330,299.48,218.45,3.5,3.01,39,108
USM_015,42.8,99.9,3,2881,273.55,234.17,7.21,2.47,36,108
USM_002,46.4,100.0,3,2447,327.3,229.61,7.76,0.27,1,107
USM_010,43.5,100.0,5,2348,422.06,234.1,5.1,2.49,58,106
USM_002,42.4,100.0,5,2492,430.89,224.93,5.06,4.03,66,120
USM_017,43.4,100.0,6,2869,423.25,239.51,6.53,1.94,93,107
USM_008,42.3,93.1,3,2261,342.28,225.17,5.13,2.61,23,106
USM_001,42.6,100.0,4,2762,278.72,233.37,5.87,1.9,8,116
USM_009,41.9,94.8,6,2380,256.28,236.42,10.2,3.89,34,106
USM_011,40.4,100.0,3,2419,325.44,226.02,5.51,2.44,26,119
USM_016,48.4,100.0,5,2853,342.08,238.05,5.28,4.55,83,112
USM_007,43.1,93.8,7,3332,402.03,234.88,4.7,4.48,15,113
USM_010,39.6,99.2,5,2372,384.71,233.79,7.49,3.58,8,104
USM_003,40.3,90.3,5,2868,359.1,222.4,5.64,4.29,34,107
USM_018,45.4,100.0,5,2610,314.41,238.88,4.7,2.57,59,105
USM_013,39.2,100.0,4,2499,311.57,226.24,8.64,2.57,19,111
USM_007,36.3,94.7,6,2934,360.17,236.16,8.84,4.4,7,104
USM_004,35.6,94.6,5,2352,377.88,226.28,4.8,4.61,34,106
USM_013,33.7,98.9,6,2240,365.68,225.89,2.27,4.11,196,108
USM_020,36.8,83.0,5,2756,308.62,235.61,8.02,4.0,205,95
USM_001,36.4,100.0,4,3092,376.03,236.96,4.63,2.94,74,107
USM_008,47.4,100.0,4,2949,367.04,222.31,7.58,2.4,90,112
USM_014,40.3,100.0,5,2231,307.17,232.62,2.06,4.1,13,103
USM_016,40.5,100.0,5,2470,318.63,236.39,7.79,1.37,28,117
USM_014,35.1,92.1,3,2895,377.54,222.16,3.58,1.66,55,107
USM_012,41.3,100.0,2,3137,340.62,238.3,7.46,1.33,83,120
USM_019,34.6,91.8,5,2664,413.57,221.82,6.03,1.73,10,113
USM_015,39.5,97.5,6,2471,370.05,229.31,4.09,4.86,36,107
USM_002,49.6,94.3,7,3239,330.53,231.61,5.19,4.5,10,88
USM_002,44.5,97.7,3,2672,349.59,227.95,7.37,2.29,60,118
USM_019,40.7,97.8,5,2475,352.54,230.29,6.21,3.38,88,107
USM_017,44.6,95.9,7,2463,320.86,233.21,7.17,5.07,107,96
USM_020,40.4,100.0,6,2295,313.5,233.19,9.95,3.83,79,112
USM_010,37.5,100.0,6,3475,378.06,232.03,2.87,5.45,10,109
USM_006,49.1,97.9,8,3167,383.81,229.44,9.23,3.36,105,97
USM_015,37.0,90.0,3,2422,374.15,236.66,6.21,3.35,24,101
USM_011,39.6,100.0,3,3165,410.61,235.87,4.2,2.25,108,120
USM_005,42.1,100.0,6,2830,328.33,234.08,3.34,3.36,17,113
USM_001,37.7,100.0,4,2768,416.97,235.51,5.62,4.27,38,111
USM_008,44.6,94.5,5,2480,313.96,224.34,7.84,3.8,51,113
USM_012,40.2,99.4,3,2497,309.49,229.21,5.74,3.01,2,118
USM_012,44.9,100.0,6,2686,279.6,227.87,9.02,4.59,140,104
USM_005,43.1,99.3,4,2091,332.17,219.59,3.1,3.91,42,109
USM_007,40.5,100.0,6,2509,329.85,228.81,5.98,3.22,12,106
USM_004,47.7,96.5,6,2728,371.04,227.89,3.5,2.8,10,100
USM_006,39.0,100.0,4,3033,359.76,233.24,6.73,3.08,69,113
USM_013,47.3,100.0,5,2538,302.28,232.69,7.77,3.81,5,101
USM_020,46.0,97.5,6,2953,334.29,222.25,5.16,2.72,34,99
USM_015,47.3,98.6,4,2105,335.14,224.16,1.0,2.19,46,107
USM_003,42.3,100.0,4,3023,278.96,220.26,6.4,2.85,15,112
USM_008,38.6,94.5,4,2365,310.76,228.24,6.87,3.65,8,108
USM_020,50.0,95.7,7,2789,319.17,231.91,6.81,4.99,40,88
USM_016,40.8,100.0,5,2779,407.35,226.3,8.47,2.17,24,110
USM_013,37.7,100.0,5,2690,357.66,228.33,3.86,3.56,9,114
USM_018,41.1,100.0,7,2628,376.49,237.43,7.36,3.06,14,103
USM_010,38.2,100.0,5,2259,290.05,217.76,8.39,3.11,38,106
USM_019,42.7,97.0,6,2410,397.77,235.6,2.44,5.07,8,103
USM_017,39.2,100.0,5,2941,402.04,228.22,6.64,3.41,165,106
USM_019,40.1,100.0,4,2471,270.07,231.99,4.99,2.42,89,117
